threshold,precision,recall,f1,fp,fn,total_cost
0.87,0.5286624203821656,0.8469387755102041,0.6509803921568628,74,15,78700
0.88,0.538961038961039,0.8469387755102041,0.6587301587301587,71,15,78550
0.89,0.5533333333333333,0.8469387755102041,0.6693548387096774,67,15,78350
0.9,0.5608108108108109,0.8469387755102041,0.6747967479674797,65,15,78250
0.91,0.5928571428571429,0.8469387755102041,0.6974789915966386,57,15,77850
0.92,0.6014492753623188,0.8469387755102041,0.7033898305084746,55,15,77750
0.93,0.6194029850746269,0.8469387755102041,0.7155172413793104,51,15,77550
0.9400000000000001,0.6484375,0.8469387755102041,0.7345132743362832,45,15,77250
0.9500000000000001,0.6587301587301587,0.8469387755102041,0.7410714285714286,43,15,77150
0.9600000000000001,0.6833333333333333,0.8367346938775511,0.7522935779816514,38,16,81900
0.97,0.6949152542372882,0.8367346938775511,0.7592592592592593,36,16,81800
0.98,0.7008547008547008,0.8367346938775511,0.7627906976744186,35,16,81750
0.99,0.7454545454545455,0.8367346938775511,0.7884615384615384,28,16,81400
