threshold,precision,recall,f1,tp,fp,tn,fn,cost
0.31,0.9305555555555556,0.8481012658227848,0.8874172185430463,67,5,45485,12,60050
0.32,0.9295774647887324,0.8354430379746836,0.88,66,5,45485,13,65050
0.33,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.34,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.35000000000000003,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.36000000000000004,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.37,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.38,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.39,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.4,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.41000000000000003,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.42000000000000004,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.43,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.44,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.45,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.46,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.47000000000000003,0.9285714285714286,0.8227848101265823,0.87248322147651,65,5,45485,14,70050
0.48000000000000004,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.49,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.5,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.51,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.52,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.53,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.54,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.55,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.56,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.5700000000000001,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.5800000000000001,0.9420289855072463,0.8227848101265823,0.8783783783783783,65,4,45486,14,70050
0.59,0.9411764705882353,0.810126582278481,0.8707482993197279,64,4,45486,15,75050
0.6,0.9411764705882353,0.810126582278481,0.8707482993197279,64,4,45486,15,75050
0.61,0.9411764705882353,0.810126582278481,0.8707482993197279,64,4,45486,15,75050
0.62,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.63,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.64,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.65,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.66,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.67,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.68,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.6900000000000001,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.7000000000000001,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
